,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,1980s,1990s,1980s-10,1990s-10
関東公立 - ①共学 合格者数,590,603,610,555,564,553,552,537,583,565,583,541,481,478,421,397,335,396,292,328,571.2,425.2,5712,4252
    i うち男子,510,505,530,464,476,475,467,424,482,460,481,428,369,370,329,293,247,282,206,250,479.3,325.5,4793,3255
    ii うち女子,80,98,80,91,88,78,85,113,101,105,102,113,112,108,92,104,88,114,86,78,91.9,99.7,919,997
関東公立 - ②共学 理系,331,346,329,322,342,312,306,298,314,333,349,308,263,275,241,198,195,221,168,191,323.3,240.9,3233,2409
    i うち男子,295,294,292,272,300,271,269,247,280,287,303,260,214,225,199,166,155,177,128,152,280.7,197.9,2807,1979
    ii うち女子,36,52,37,50,42,41,37,51,34,46,46,48,49,50,42,32,40,44,40,39,42.6,43,426,430
関東公立 - ③共学 文系,259,257,281,233,222,241,246,239,269,232,234,233,218,203,180,199,140,175,124,137,247.9,184.3,2479,1843
    i うち男子,215,211,238,192,176,204,198,177,202,173,178,168,155,145,130,127,92,105,78,98,198.6,127.6,1986,1276
    ii うち女子,44,46,43,41,46,37,48,62,67,59,56,65,63,58,50,72,48,70,46,39,49.3,56.7,493,567
関東公立 - ④別学 合格者数,240,239,234,250,208,232,256,256,229,245,282,233,242,250,255,269,231,244,206,241,238.9,245.3,2389,2453
    i うち男子,233,221,216,238,199,210,234,229,207,211,240,210,218,206,228,245,211,200,177,225,219.8,216,2198,2160
    ii うち女子,7,18,18,12,9,22,22,27,22,34,42,23,24,44,27,24,20,44,29,16,19.1,29.3,191,293
関東公立 - ⑤別学 理系,128,125,123,133,101,120,130,121,117,133,154,134,128,129,143,163,135,140,124,120,123.1,137,1231,1370
    i うち男子,124,116,110,126,97,109,119,112,107,113,136,128,120,114,133,152,127,128,110,115,113.3,126.3,1133,1263
    ii うち女子,4,9,13,7,4,11,11,9,10,20,18,6,8,15,10,11,8,12,14,5,9.8,10.7,98,107
関東公立 - ⑥別学 文系,112,114,111,117,107,112,126,135,112,112,128,99,114,121,112,106,96,104,82,121,115.8,108.3,1158,1083
    i うち男子,109,105,106,112,102,101,115,117,100,98,104,82,98,92,95,93,84,72,67,110,106.5,89.7,1065,897
    ii うち女子,3,9,5,5,5,11,11,18,12,14,24,17,16,29,17,13,12,32,15,11,9.3,18.6,93,186
関東公立 - ⑦全体 合格者数,830,842,844,805,772,785,808,793,812,810,865,774,723,728,676,666,566,640,498,569,810.1,670.5,8101,6705
    i うち男子,743,726,746,702,675,685,701,653,689,671,721,638,587,576,557,538,458,482,383,475,699.1,541.5,6991,5415
    ii うち女子,87,116,98,103,97,100,107,140,123,139,144,136,136,152,119,128,108,158,115,94,111,129,1110,1290
関東私立 - ①共学 合格者数,0,0,4,6,0,4,17,0,14,23,35,27,47,57,30,30,50,58,50,66,6.8,45,68,450
    i うち男子,0,0,2,6,0,4,14,0,12,16,23,24,36,41,15,17,37,42,39,49,5.4,32.3,54,323
    ii うち女子,0,0,2,0,0,0,3,0,2,7,12,3,11,16,15,13,13,16,11,17,1.4,12.7,14,127
関東私立 - ②共学 理系,0,0,3,1,0,3,8,0,6,12,21,18,32,34,11,15,31,31,31,36,3.3,26,33,260
    i うち男子,0,0,1,1,0,3,6,0,5,10,13,18,28,30,7,9,23,23,26,28,2.6,20.5,26,205
    ii うち女子,0,0,2,0,0,0,2,0,1,2,8,0,4,4,4,6,8,8,5,8,0.7,5.5,7,55
関東私立 - ③共学 文系,0,0,1,5,0,1,9,0,8,11,14,9,15,23,19,15,19,27,19,30,3.5,19,35,190
    i うち男子,0,0,1,5,0,1,8,0,7,6,10,6,8,11,8,8,14,19,13,21,2.8,11.8,28,118
    ii うち女子,0,0,0,0,0,0,1,0,1,5,4,3,7,12,11,7,5,8,6,9,0.7,7.2,7,72
関東私立 - ④別学 合格者数,538,555,571,572,619,588,648,649,649,746,745,834,967,857,920,923,849,929,895,905,613.5,882.4,6135,8824
    i うち男子,513,514,527,525,558,533,600,578,583,638,629,701,830,712,780,772,713,720,742,737,556.9,733.6,5569,7336
    ii うち女子,25,41,44,47,61,55,48,71,66,108,116,133,137,145,140,151,136,209,153,168,56.6,148.8,566,1488
関東私立 - ⑤別学 理系,296,290,308,315,338,303,324,317,327,389,389,430,503,468,478,493,463,509,489,502,320.7,472.4,3207,4724
    i うち男子,282,274,292,289,308,282,305,284,305,341,337,382,444,397,410,433,403,412,404,430,296.2,405.2,2962,4052
    ii うち女子,14,16,16,26,30,21,19,33,22,48,52,48,59,71,68,60,60,97,85,72,24.5,67.2,245,672
関東私立 - ⑥別学 文系,242,265,263,257,281,285,324,332,322,357,356,404,464,389,442,430,386,420,406,403,292.8,410,2928,4100
    i うち男子,231,240,235,236,250,251,295,294,278,297,292,319,386,315,370,339,310,308,338,307,260.7,328.4,2607,3284
    ii うち女子,11,25,28,21,31,34,29,38,44,60,64,85,78,74,72,91,76,112,68,96,32.1,81.6,321,816
関東私立 - ⑦全体 合格者数,538,555,575,578,619,592,665,649,663,769,780,861,1014,914,950,953,899,987,945,971,620.3,927.4,6203,9274
    i うち男子,513,514,529,531,558,537,614,578,595,654,652,725,866,753,795,789,750,762,781,786,562.3,765.9,5623,7659
    ii うち女子,25,41,46,47,61,55,51,71,68,115,128,136,148,161,155,164,149,225,164,185,58,161.5,580,1615
関東以外 - ①共学 合格者数,781,750,700,778,749,676,785,1021,913,793,679,742,725,821,812,792,821,721,829,783,794.6,772.5,7946,7725
    i うち男子,709,701,652,707,686,593,716,929,829,688,583,633,607,686,663,638,658,563,656,610,721,629.7,7210,6297
    ii うち女子,72,49,48,71,63,83,69,92,84,105,96,109,118,135,149,154,163,158,173,173,73.6,142.8,736,1428
関東以外 - ②共学 理系,436,400,403,428,415,387,438,628,577,447,402,417,410,442,467,454,482,406,471,425,455.9,437.6,4559,4376
    i うち男子,404,383,378,400,390,355,407,591,539,403,358,372,362,404,404,389,421,347,403,366,425,382.6,4250,3826
    ii うち女子,32,17,25,28,25,32,31,37,38,44,44,45,48,38,63,65,61,59,68,59,30.9,55,309,550
関東以外 - ③共学 文系,345,350,297,350,334,289,347,393,336,346,277,325,315,379,345,338,339,315,358,358,338.7,334.9,3387,3349
    i うち男子,305,318,274,307,296,238,309,338,290,285,225,261,245,282,259,249,237,216,253,244,296,247.1,2960,2471
    ii うち女子,40,32,23,43,38,51,38,55,46,61,52,64,70,97,86,89,102,99,105,114,42.7,87.8,427,878
関東以外 - ④別学 合格者数,535,553,559,516,539,595,541,798,820,610,637,700,638,687,693,626,632,626,620,615,606.6,647.4,6066,6474
    i うち男子,530,546,558,510,530,590,536,777,802,592,625,685,621,669,673,613,619,601,598,597,597.1,630.1,5971,6301
    ii うち女子,5,7,1,6,9,5,5,21,18,18,12,15,17,18,20,13,13,25,22,18,9.5,17.3,95,173
関東以外 - ⑤別学 理系,283,315,286,265,266,313,281,480,503,332,304,355,333,347,361,337,304,338,333,370,332.4,338.2,3324,3382
    i うち男子,282,313,285,261,263,312,281,464,494,324,301,351,325,343,352,332,300,329,323,361,327.9,331.7,3279,3317
    ii うち女子,1,2,1,4,3,1,0,16,9,8,3,4,8,4,9,5,4,9,10,9,4.5,6.5,45,65
関東以外 - ⑥別学 文系,252,238,273,251,273,282,260,318,317,278,333,345,305,340,332,289,328,288,287,245,274.2,309.2,2742,3092
    i うち男子,248,233,273,249,267,278,255,313,308,268,324,334,296,326,321,281,319,272,275,236,269.2,298.4,2692,2984
    ii うち女子,4,5,0,2,6,4,5,5,9,10,9,11,9,14,11,8,9,16,12,9,5,10.8,50,108
関東以外 - ⑦全体 合格者数,1316,1303,1259,1294,1288,1271,1326,1819,1733,1403,1316,1442,1363,1508,1505,1418,1453,1347,1449,1398,1401.2,1419.9,14012,14199
    i うち男子,1239,1247,1210,1217,1216,1183,1252,1706,1631,1280,1208,1318,1228,1355,1336,1251,1277,1164,1254,1207,1318.1,1259.8,13181,12598
    ii うち女子,77,56,49,77,72,88,74,113,102,123,108,124,135,153,169,167,176,183,195,191,83.1,160.1,831,1601
関東 - ①共学 合格者数,590,603,614,561,564,557,569,537,597,588,618,568,528,535,451,427,385,454,342,394,578,470.2,5780,4702
    i うち男子,510,505,532,470,476,479,481,424,494,476,504,452,405,411,344,310,284,324,245,299,484.7,357.8,4847,3578
    ii うち女子,80,98,82,91,88,78,88,113,103,112,114,116,123,124,107,117,101,130,97,95,93.3,112.4,933,1124
関東 - ②共学 理系,331,346,332,323,342,315,314,298,320,345,370,326,295,309,252,213,226,252,199,227,326.6,266.9,3266,2669
    i うち男子,295,294,293,273,300,274,275,247,285,297,316,278,242,255,206,175,178,200,154,180,283.3,218.4,2833,2184
    ii うち女子,36,52,39,50,42,41,39,51,35,48,54,48,53,54,46,38,48,52,45,47,43.3,48.5,433,485
関東 - ③共学 文系,259,257,282,238,222,242,255,239,277,243,248,242,233,226,199,214,159,202,143,167,251.4,203.3,2514,2033
    i うち男子,215,211,239,197,176,205,206,177,209,179,188,174,163,156,138,135,106,124,91,119,201.4,139.4,2014,1394
    ii うち女子,44,46,43,41,46,37,49,62,68,64,60,68,70,70,61,79,53,78,52,48,50,63.9,500,639
関東 - ④別学 合格者数,778,794,805,822,827,820,904,905,878,991,1027,1067,1209,1107,1175,1192,1080,1173,1101,1146,852.4,1127.7,8524,11277
    i うち男子,746,735,743,763,757,743,834,807,790,849,869,911,1048,918,1008,1017,924,920,919,962,776.7,949.6,7767,9496
    ii うち女子,32,59,62,59,70,77,70,98,88,142,158,156,161,189,167,175,156,253,182,184,75.7,178.1,757,1781
関東 - ⑤別学 理系,424,415,431,448,439,423,454,438,444,522,543,564,631,597,621,656,598,649,613,622,443.8,609.4,4438,6094
    i うち男子,406,390,402,415,405,391,424,396,412,454,473,510,564,511,543,585,530,540,514,545,409.5,531.5,4095,5315
    ii うち女子,18,25,29,33,34,32,30,42,32,68,70,54,67,86,78,71,68,109,99,77,34.3,77.9,343,779
関東 - ⑥別学 文系,354,379,374,374,388,397,450,467,434,469,484,503,578,510,554,536,482,524,488,524,408.6,518.3,4086,5183
    i うち男子,340,345,341,348,352,352,410,411,378,395,396,401,484,407,465,432,394,380,405,417,367.2,418.1,3672,4181
    ii うち女子,14,34,33,26,36,45,40,56,56,74,88,102,94,103,89,104,88,144,83,107,41.4,100.2,414,1002
関東 - ⑦全体 合格者数,1368,1397,1419,1383,1391,1377,1473,1442,1475,1579,1645,1635,1737,1642,1626,1619,1465,1627,1443,1540,1430.4,1597.9,14304,15979
    i うち男子,1256,1240,1275,1233,1233,1222,1315,1231,1284,1325,1373,1363,1453,1329,1352,1327,1208,1244,1164,1261,1261.4,1307.4,12614,13074
    ii うち女子,112,157,144,150,158,155,158,211,191,254,272,272,284,313,274,292,257,383,279,279,169,290.5,1690,2905
全国 - ①共学 合格者数,1371,1353,1314,1339,1313,1233,1354,1558,1510,1381,1297,1310,1253,1356,1263,1219,1206,1175,1171,1177,1372.6,1242.7,13726,12427
    i うち男子,1219,1206,1184,1177,1162,1072,1197,1353,1323,1164,1087,1085,1012,1097,1007,948,942,887,901,909,1205.7,987.5,12057,9875
    ii うち女子,152,147,130,162,151,161,157,205,187,217,210,225,241,259,256,271,264,288,270,268,166.9,255.2,1669,2552
全国 - ②共学 理系,767,746,735,751,757,702,752,926,897,792,772,743,705,751,719,667,708,658,670,652,782.5,704.5,7825,7045
    i うち男子,699,677,671,673,690,629,682,838,824,700,674,650,604,659,610,564,599,547,557,546,708.3,601,7083,6010
    ii うち女子,68,69,64,78,67,73,70,88,73,92,98,93,101,92,109,103,109,111,113,106,74.2,103.5,742,1035
全国 - ③共学 文系,604,607,579,588,556,531,602,632,613,589,525,567,548,605,544,552,498,517,501,525,590.1,538.2,5901,5382
    i うち男子,520,529,513,504,472,443,515,515,499,464,413,435,408,438,397,384,343,340,344,363,497.4,386.5,4974,3865
    ii うち女子,84,78,66,84,84,88,87,117,114,125,112,132,140,167,147,168,155,177,157,162,92.7,151.7,927,1517
全国 - ④別学 合格者数,1313,1347,1364,1338,1366,1415,1445,1703,1698,1601,1664,1767,1847,1794,1868,1818,1712,1799,1721,1761,1459,1775.1,14590,17751
    i うち男子,1276,1281,1301,1273,1287,1333,1370,1584,1592,1441,1494,1596,1669,1587,1681,1630,1543,1521,1517,1559,1373.8,1579.7,13738,15797
    ii うち女子,37,66,63,65,79,82,75,119,106,160,170,171,178,207,187,188,169,278,204,202,85.2,195.4,852,1954
全国 - ⑤別学 理系,707,730,717,713,705,736,735,918,947,854,847,919,964,944,982,993,902,987,946,992,776.2,947.6,7762,9476
    i うち男子,688,703,687,676,668,703,705,860,906,778,774,861,889,854,895,917,830,869,837,906,737.4,863.2,7374,8632
    ii うち女子,19,27,30,37,37,33,30,58,41,76,73,58,75,90,87,76,72,118,109,86,38.8,84.4,388,844
全国 - ⑥別学 文系,606,617,647,625,661,679,710,785,751,747,817,848,883,850,886,825,810,812,775,769,682.8,827.5,6828,8275
    i うち男子,588,578,614,597,619,630,665,724,686,663,720,735,780,733,786,713,713,652,680,653,636.4,716.5,6364,7165
    ii うち女子,18,39,33,28,42,49,45,61,65,84,97,113,103,117,100,112,97,160,95,116,46.4,111,464,1110
全国 - ⑦全体 合格者数,2684,2700,2678,2677,2679,2648,2799,3261,3208,2982,2961,3077,3100,3150,3131,3037,2918,2974,2892,2938,2831.6,3017.8,28316,30178
    i うち男子,2495,2487,2485,2450,2449,2405,2567,2937,2915,2605,2581,2681,2681,2684,2688,2578,2485,2408,2418,2468,2579.5,2567.2,25795,25672
    ii うち女子,189,213,193,227,230,243,232,324,293,377,380,396,419,466,443,459,433,566,474,470,252.1,450.6,2521,4506
全国ー⑧理系合格者数,1474,1476,1452,1464,1462,1438,1487,1844,1844,1646,1619,1662,1669,1695,1701,1660,1610,1645,1616,1644,1558.7,1652.1,15587,16521
    i うち男子,1387,1380,1358,1349,1358,1332,1387,1698,1730,1478,1448,1511,1493,1513,1505,1481,1429,1416,1394,1452,1445.7,1464.2,14457,14642
    ii うち女子,87,96,94,115,104,106,100,146,114,168,171,151,176,182,196,179,181,229,222,192,113,187.9,1130,1879
全国ー⑨文系合格者数,1210,1224,1226,1213,1217,1210,1312,1417,1364,1336,1342,1415,1431,1455,1430,1377,1308,1329,1276,1294,1272.9,1365.7,12729,13657
    i うち男子,1108,1107,1127,1101,1091,1073,1180,1239,1185,1127,1133,1170,1188,1171,1183,1097,1056,992,1024,1016,1133.8,1103,11338,11030
    ii うち女子,102,117,99,112,126,137,132,178,179,209,209,245,243,284,247,280,252,337,252,278,139.1,262.7,1391,2627
関東ー⑧理系合格者数,755,761,763,771,781,738,768,736,764,867,913,890,926,906,873,869,824,901,812,849,770.4,876.3,7704,8763
    i うち男子,701,684,695,688,705,665,699,643,697,751,789,788,806,766,749,760,708,740,668,725,692.8,749.9,6928,7499
    ii うち女子,54,77,68,83,76,73,69,93,67,116,124,102,120,140,124,109,116,161,144,124,77.6,126.4,776,1264
関東ー⑨文系合格者数,613,636,656,612,610,639,705,706,711,712,732,745,811,736,753,750,641,726,631,691,660,721.6,6600,7216
    i うち男子,555,556,580,545,528,557,616,588,587,574,584,575,647,563,603,567,500,504,496,536,568.6,557.5,5686,5575
    ii うち女子,58,80,76,67,82,82,89,118,124,138,148,170,164,173,150,183,141,222,135,155,91.4,164.1,914,1641
